Title,Year,Cited by,DOI,Link,Abstract,Author Keywords
Photomechanical materials and applications: A tutorial,2020,28,10.1364/AOP.387366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1364%2FAOP.387366&partnerID=40&md5=b8fb9e3addee510c5b70eb100c58615e,"The transistor has revolutionized civilization. The photon will enable the next revolution provided that photomechanical materials, which convert light energy into mechanical work, can be made substantially more efficient. This tutorial develops a unified picture of the photomechanical response from its microscopic origins to the bulk response. A statistical model of the relationship between the photomorphon, the smallest photomechanical material unit, and the bulk response provides the context for understanding the various mechanisms that can contribute. We then present experimental details of how the photomechanical response is measured and used to deduce the underlying mechanisms. A figure of merit for the photomechanical efficiency is defined and materials are reviewed. Finally, we describe the photomechanical optical device (POD) and how PODs can be combined to form highly intelligent materials. This tutorial spans the multidisciplinary topics needed to (1) understand the fundamental physics of the response, (2) design and process materials to control the response, and (3) build new devices and integrated photomechanical systems.",Optics; Photonics; Figure Of Merits; Fundamental Physics; Light Energy; Mechanical Work; New Devices; Process Materials; Statistical Modeling; Intelligent Materials
Synthesis of 2-Methacryloyloxyethyl Phosphorylcholine (MPC) Based P(2-hydroxyethyl methacrylate) P(HEMA) Cryogel Membranes; 2-Metakriloiloksietil Fosforilkolin (MPC) Temelli P(2-Hidroksietil metakrilat) P(HEMA) Kriyojel Membranların Sentezi,2020,2,10.37094/adyujsci.747927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.37094%2Fadyujsci.747927&partnerID=40&md5=af7a0e793be778b995b2d96d0de3fac3,"Synthesis of artificial/natural polymeric biomaterials having resistance to nonspecific protein adsorption, blood coagulation, and bacterial adhesion has attracted great attention, so nonspecific adsorption of proteins and biomolecules causes unfavorable biological responses inluding blood clotting, inflammation, cell adhesion, cell differentiation, and biofilm formation. A zwitterionic phosphorylcholine (PC) group of 2-methacryloyloxyethyl phosphorylcholine (MPC) is employed for biologically inert functions, especially in resistance to protein adsorption. So, it is aimed to develop bio-inspired, efficient and environmentally friendly MPC containing cryogel membranes for polymeric scaffolds for promoting cell-biomaterial. Cryogel membranes were synthesized in a semi-frozen medium by free radical polymerization in an ice bath and characterized by SEM/EDX, micro-CT, and swelling ratio measurements. In vitro biocompatibility was assessed from cell viability studies performed using cultured fibroblast cells.",2-hydroxyethyl Methacrylate; 2-methacryloyloxyethyl Phosphorylcholine; Cryogel
Flexible Strain Sensor with Tunable Sensitivity via Microscale Electrical Breakdown in Graphene/Polyimide Thin Films,2020,61,10.1021/acsami.0c19484,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.0c19484&partnerID=40&md5=490c1c9a88f5f3b712908ad973997e75,"Carbon-based piezoresistive nanomaterials are widely used for the fabrication of flexible sensors. Although our previous work demonstrated that an electrical breakdown (EBD) process can endow a graphene/polyimide (G/PI) composite with piezoresistivity, the formation of EBD-induced electrical traces with high consistency in bulk nanocomposites remains a technical challenge. With the aim of developing highly sensitive flexible strain sensors using a batch fabrication process, we introduce herein a microscale EBD (μEBD) method to form localized piezoresistors with diverse shapes in a G/PI thin film. The results of scanning electron microscopy, Raman spectroscopy, and electromechanical tests indicate that high piezoresistivity is derived from the high porosity of the carbonized conductive traces generated by the μEBD process. The gauge factor of the μEBD-treated G/PI strain sensor is over 20 times greater than that of the as-prepared G/PI film, and the sensitivities of the strain sensors can be tuned by varying the applied current in the μEBD process. We also demonstrate the potential applications of μEBD-treated G/PI strain sensors in the fields of finger gesture detection, sound pressure measurement, and airflow sensing.",Carbonization; Electrical Breakdown; Flexible Sensor; Piezoresistivity; Strain Sensor; Electric Breakdown Of Liquids; Graphene; Scanning Electron Microscopy; Applied Current; Batch Fabrication; Electrical Breakdown; Finger Gestures; Flexible Sensor; Piezo-resistive; Piezoresistivity; Technical Challenges; Thin Films
Ductile Shape-Memory Polymer Composite with Enhanced Shape Recovery Ability,2020,22,10.1021/acsami.0c18413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.0c18413&partnerID=40&md5=d9d5f008aae7969962e41ba483e016df,"In recent years, shape-memory polymers (SMPs) have received extensive attention to be used as actuators in a broad range of applications such as medical and robotic devices. Their ability to recover large deformations and their capability to be stimulated remotely have made SMPs a superior choice among different smart materials in various applications. In this study, a ductile SMP composite with enhanced shape recovery ability is synthesized and characterized. This SMP composite is made by a mixture of acrylate-based crosslinkers and monomers, as well as polystyrene (PS) with UV curing. The composite can achieve almost 100% shape recovery in 2 s by hot water or hot air. This shape recovery speed is much faster than typical acrylate-based SMPs. In addition, the composite shows excellent ductility and viscoelasticity with reduced hardness. Molecular dynamics (MD) simulations are performed for understanding the curing mechanism of this composite. With the combination of the experimental and computational works, this study paves the way in front of designing and optimizing the future SMP devices.",Mechanical Properties; Molecular Dynamics (md); Polystyrene (ps); Shape Memory Polymer Composite; Tertbutyl Acrylate (tba); Curing; Functional Polymers; Molecular Dynamics; Recovery; Shape-memory Polymer; Computational Work; Cross-linkers; Curing Mechanism; Hot Water; Molecular Dynamics Simulations; Robotic Devices; Shape Recovery; Uv-curing; Shape Optimization
Programmable Transformation and Controllable Locomotion of Magnetoactive Soft Materials with 3D-Patterned Magnetization,2020,45,10.1021/acsami.0c15406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.0c15406&partnerID=40&md5=571faa98ea9e5cf472ac57d4d4cb1f99,"Magnetoactive soft material (MASM) is distinguished for multifunctional shape manipulations under magnetic actuation, thereby holding a great promise in soft robotics, actuators, electronics, and metamaterials. However, the current research of MASM with continuum hard-magnetic profiles focuses little on the transformation mechanism, high dimensional shape transformation, and multistable locomotion. Herein, we developed a systematic methodology for programmable transformation and controllable locomotion of MASM with 3D-patterned continuum magnetization. An iterative computational model based on the equilibrium between magnetic torque and deformation-induced elastic torque was developed for precise prediction of MASM transformation. Multidimensional and complex shape manipulation ability of MASM was demonstrated by magnetically actuated transformations, including 1D to 2D, 2D to 3D, and 3D to 4D transformations of solid MASM, 2D to 3D pattern transformation of MASM-based elastin-like mesh, and 3D to 4D transformation of MASM-based cuboidal lattice. Multistable and controllable locomotion of MASM was verified by multimodal locomotion behaviors of a scallop-inspired robot for wall climbing in a dry frame and drug delivery in wet stomach, including roll, open, and close under self-locked and unlocked states.",Architected Materials; Locomotion; Magnetic Field; Magnetoactive Soft Materials; Robot; Transformation; Controlled Drug Delivery; Elastin; Iterative Methods; Magnetization; Soft Materials; Computational Model; Magnetic Actuation; Magnetic Profiles; Multi-modal Locomotion; Shape Manipulation; Shape Transformation; Systematic Methodology; Transformation Mechanisms; Magnetic Actuators
Top-Down Direct Preparation of Orange-Yellow Dye Similar to Psittacofulvins from Commercial Polymer by Laser Writing,2020,8,10.1021/acsami.0c15471,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1021%2Facsami.0c15471&partnerID=40&md5=a81fa25f0d0f4198ed5ccadfd9a0c595,"Laser manufacturing is a promising method for the design and preparation of high value-added materials. When the laser acts on the polymer precursors, some wonderful phenomena will always occur and accompanied by the generation of new substances. Herein, we report a top-down approach for the direct preparation of orange-yellow dye that is similar to psittacofulvins from commercial polymer resins by laser writing. Conjugated double bonds and micro-rough structures are formed simultaneously on laser-irradiated polymer substrate surfaces. The typical polyconjugated structures of psittacofulvin dyes were confirmed by micro-Raman and Raman imaging results. Temperature-dependent Fourier transform infrared and X-ray photoelectron spectroscopy further demonstrated the formation mechanism of laser-induced psittacofulvins dyes based on the chemical composition. Further, optical microscopy, laser confocal microscopy, and scanning electron microscopy were carried out to characterize the physical morphologies of laser-irradiated polymer substrates. A unique advantage of preparing psittacofulvins dye using laser writing is its simple steps, and the dye can be converted directly from the appropriate precursor substrate. Interestingly, the laser-irradiated polymer substrate surface undergoes color change. This laser-induced color patterning is attractive due to the characteristics of high precision, flexibility, and maskless; any patterns can be easily designed and produced on the polymer at desired positions.",Co2laser; Laser-induced Color Patterning; Polyene Dyes; Polymer; Psittacofulvins; Chemical Bonds; Citrus Fruits; Conjugated Polymers; Scanning Electron Microscopy; Substrates; X Ray Photoelectron Spectroscopy; Chemical Compositions; Conjugated Double Bonds; Fourier Transform Infra Reds; Irradiated Polymers; Laser Confocal Microscopy; Laser Manufacturing; Temperature Dependent; Top Down Approaches; Dye Lasers
A review on carbon-based self-sensing cementitious composites,2020,119,10.1016/j.conbuildmat.2020.120764,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.conbuildmat.2020.120764&partnerID=40&md5=7aabc15c0fba7906aee41a87578d13bc,"Self-sensing cementitious composite is a kind of cementitious material which possesses both mechanical and sensing properties. The stress and strain state of the structure can be analyzed by monitoring its electrical resistivity. This paper discussed the preparation, theory research, and application of self-sensing cementitious composites made with carbon-based materials. The applications of different types of carbon conductive fillers in cementitious composites as well as the influence factor were also investigated. The factors include the fillers’ dispersion, electrode arrangement and electrical resistivity measurement methods, curing age, moisture content and temperature, etc. The conductive theory, equivalent circuit model of the composites and the current application forms were summarized. The challenges were finally discussed in the development and application of the self-sensing cementitious composites.",Application; Carbon Fillers; Cementitious Composites; Electrical Resistivity; Influence Factors; Theory Research; Electric Conductivity; Equivalent Circuits; Fillers; Carbon Based Materials; Cementitious Composites; Cementitious Materials; Conductive Fillers; Development And Applications; Electrical Resistivity Measurements; Electrode Arrangement; Equivalent Circuit Model; Carbon
Electrical and piezoresistive properties of carbon nanofiber cement mortar under different temperatures and water contents,2020,75,10.1016/j.conbuildmat.2020.120740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.conbuildmat.2020.120740&partnerID=40&md5=ee180ee2ab618417286a889b65cac667,"Influence of temperatures and water contents on the electrical resistance and piezoresistivity of carbon nanofibers (CNFs) cement mortar were investigated in this paper. Electrochemical impedance spectroscopy (EIS) and equivalent circuits were determined to explore the conductive and mechanical mechanism. Results indicated that the electrical resistance decreased with the increasing CNFs dosages in all environments. When CNFs content was less than 1.5%, the electrical resistance of dried specimens with environment temperature ranging from −30 °C to 20 °C increased linearly with the ascending temperature. However, when the temperature ranged from 20 °C to 40 °C, the electrical resistance decreased with one dimensional Gauss function with the increasing temperature. While, when dried CNFs mortar possessed the CNFs content of 1.5%, 2.0% and 2.5% or specimens were in water saturated state, the resistance of all specimens and temperatures conformed to one dimensional Gauss function. Moreover, when CNFs mortars were at the temperature of 20 °C, the relationship between electrical resistance and water contents could be described as exponential function of 10. Additionally, CNFs mortar with 2.5% CNFs performed favorable piezoresistivity. The strain-sensing performance of CNFs mortar deteriorated when temperature decreased from 20 °C to −30 °C. When temperature was higher than 20 °C, self-sensing property became worse with the increasing temperature. Nevertheless, the sensitivity of CNFs mortar first decreased and then increased with the increasing water contents. CNFs mortar samples in dried state and 20 °C showed the optimum self-sensing performance. Furthermore, the EIS curves were sensitive to temperatures and water contents and effective to reveal the conductive mechanism.",Carbon Nanofibers; Cement Mortar; Electrical Resistance; Electrochemical Impedance Spectroscopy; Piezoresistivity; Temperatures; Water Contents; Carbon Nanofibers; Cements; Electric Resistance; Electrochemical Impedance Spectroscopy; Equivalent Circuits; Exponential Functions; Temperature; Conductive Mechanisms; Electrical Resistances; Environment Temperature; Increasing Temperatures; Mechanical Mechanisms; Piezoresistive Properties; Piezoresistivity; Water-saturated State; Mortar
Plasmonic effect of diffused Ag nanoparticles in EB evaporated Ag/TiO2 bilayer thin films and role of oxygen pressure,2020,10,10.1016/j.jallcom.2020.156553,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.jallcom.2020.156553&partnerID=40&md5=0f8972bee6b0406f02fc1370e65536cc,"Oxygen pressure mediated interfacial diffusion of silver up to top surface of thick (∼120 nm) TiO<inf>2</inf> layer in e-beam evaporated Ag/TiO<inf>2</inf> bilayer thin films has been observed. This effect has been investigated in oxygen pressure range of 5.9 × 10−5-5.8 × 10−4 mbar during evaporation. The amount of Ag diffusion (5–24%) has been found to be correlated with the induced porosity of TiO<inf>2</inf> layer. Both compositional and structural characterizations confirm Ag0 chemical state of diffused silver. Scanning Electron Microscopy revealed Ag aggregates having an approximate average diameter of ∼4 nm and ∼24 nm on top surface. Spectroscopic ellipsometry analysis demonstrates that plasmonic absorption caused by these Ag nanoparticles manifests significant modulation of effective complex refractive indices (ECRI) of TiO<inf>2</inf> layer. Specifically, the imaginary part of ECRI of TiO<inf>2</inf> exhibits substantial non-zero value (∼6.5 × 10−2) in the visible wavelength range which is otherwise close to zero (<10−5) for intrinsic TiO<inf>2</inf> thin film. Finally, the optical role of diffused silver on wavelength and peak of interference absorption in Ag/TiO<inf>2</inf> bilayer thin film system has been demonstrated. This investigation gives insight on plasmonic contribution of diffused Ag nanoparticles and its consequence on ECRI of dielectric thin film due to in-situ e-beam evaporation without any post deposition treatment.",Ag–tio2 Thin Film; Electron Beam Evaporation; Interface Diffusion; Lspr; Spectroscopic Ellipsometry; Xps; Absorption Spectroscopy; Deposition; Evaporation; High-k Dielectric; Metal Nanoparticles; Oxide Minerals; Oxygen; Plasmonic Nanoparticles; Plasmonics; Pressure Effects; Refractive Index; Scanning Electron Microscopy; Silver Compounds; Silver Metallography; Silver Nanoparticles; Spectroscopic Analysis; Spectroscopic Ellipsometry; Tio2 Nanoparticles; Titanium Dioxide; Complex Refractive Index; Dielectric Thin Films; E Beam Evaporation; Interfacial Diffusion; Oxygen Pressure Range; Post Deposition Treatment; Structural Characterization; Visible-wavelength Range; Thin Films
Stretchable and foldable waveplate based on liquid crystal polymer,2020,9,10.1063/5.0027919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1063%2F5.0027919&partnerID=40&md5=6f7a59e2fcb1924f1a794f612f8eba30,"The unrestricted flexibility of flexible photonic devices realizes and adjusts the unique optoelectronic properties of the device, greatly expanding the development mode and application space of optoelectronic devices. Among them, the waveplate is critical for flexible modulation and design of the degree of polarization of light. However, previous reports on waveplates have not addressed the issues of high efficiency, tunable phase delay, and flexibility. Here, we proposed an ultra-thin, flexible, foldable, and stretchable waveplate based on liquid crystal polymer using a water-soluble transfer method. Through Jones Matrix analysis and research on the optical performance of the liquid crystal waveplate, the results show that the overall structure of the prepared liquid crystal flexible waveplate has high fidelity, and its optical performance is in good agreement with the theoretical prediction. The flexible waveplates were used as anti-reflection for foldable organic light-emitting diode displays of smartphones.",Crystal Structure; Flexible Displays; Liquid Crystal Polymers; Optoelectronic Devices; Photonic Devices; Degree Of Polarization; Development Modes; Flexible Photonics; High-efficiency; Optical Performance; Optoelectronic Properties; Organic Light Emitting Diode Display; Transfer Method; Organic Light Emitting Diodes (oled)
