Title,Year,Cited by,DOI,Link,Abstract,Author Keywords
In Vitro Models for Studying Respiratory Host–Pathogen Interactions,2021,24,10.1002/adbi.202000624,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1002%2Fadbi.202000624&partnerID=40&md5=cfaf91e73b5c6ed4cc8da9956b74f134,"Respiratory diseases and lower respiratory tract infections are among the leading cause of death worldwide and, especially given the recent severe acute respiratory syndrome coronavirus-2 pandemic, are of high and prevalent socio-economic importance. In vitro models, which accurately represent the lung microenvironment, are of increasing significance given the ethical concerns around animal work and the lack of translation to human disease, as well as the lengthy time to market and the attrition rates associated with clinical trials. This review gives an overview of the biological and immunological components involved in regulating the respiratory epithelium system in health, disease, and infection. The evolution from 2D to 3D cell biology and to more advanced technological integrated models for studying respiratory host–pathogen interactions are reviewed and provide a reference point for understanding the in vitro modeling requirements. Finally, the current limitations and future perspectives for advancing this field are presented.",Host–pathogens; Immunology; In Vitro Models; Infection; Lungs; Pathogens; Respiratory System; Current Limitation; Future Perspectives; Integrated Models; Microenvironments; Pathogen Interaction; Respiratory Epitheliums; Respiratory Tract Infections; Severe Acute Respiratory Syndrome Coronavirus; Cytology
Magnetic Nanoparticle Composites: Synergistic Effects and Applications,2021,147,10.1002/advs.202004951,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1002%2Fadvs.202004951&partnerID=40&md5=24d9eafdad22a065fbb31bcfd89ec692,"Composite materials are made from two or more constituent materials with distinct physical or chemical properties that, when combined, produce a material with characteristics which are at least to some degree different from its individual components. Nanocomposite materials are composed of different materials of which at least one has nanoscale dimensions. Common types of nanocomposites consist of a combination of two different elements, with a nanoparticle that is linked to, or surrounded by, another organic or inorganic material, for example in a core-shell or heterostructure configuration. A general family of nanoparticle composites concerns the coating of a nanoscale material by a polymer, SiO<inf>2</inf> or carbon. Other materials, such as graphene or graphene oxide (GO), are used as supports forming composites when nanoscale materials are deposited onto them. In this Review we focus on magnetic nanocomposites, describing their synthetic methods, physical properties and applications. Several types of nanocomposites are presented, according to their composition, morphology or surface functionalization. Their applications are largely due to the synergistic effects that appear thanks to the co-existence of two different materials and to their interface, resulting in properties often better than those of their single-phase components. Applications discussed concern magnetically separable catalysts, water treatment, diagnostics-sensing and biomedicine.",Biomedicine; Catalysis; Nanoparticle Synthesis; Sensing; Surface Functionalization; Biocompatible Materials; Magnetite Nanoparticles; Composite Materials; Graphene; Magnetism; Morphology; Silica; Sio2 Nanoparticles; Synthesis (chemical); Water Treatment; Advanced Science; Biomedicine; Composites Material; Constituent Materials; Individual Components; Nanoparticle Synthesis; Nanoscale Material; Sensing; Surface Functionalization; Synergistic Effect; Nanocomposites; Biomaterial; Magnetite Nanoparticle; Nanocomposite; Biocompatible Materials; Magnetite Nanoparticles
Core effect on mechanical properties of one dimensional electrospun core-sheath composite fibers,2021,30,10.1016/j.coco.2021.100773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.coco.2021.100773&partnerID=40&md5=ce828773b19fbd5838bd31c98ede1da8,"Mechanical properties are highly important for the applications of electrospun nanofibers. In this work, the core effect on mechanical properties of one dimensional electrospun core-sheath composites was investigated. Coaxial electrospinning was used to prepare polyacrylonitrile (PAN)/thermoplastic polyurethane (TPU) core/shell composite fibers with different core diameters of PAN by controlling the flow rate of core solution. Theoretical calculation and electron microscopy were used to determine the core diameter. Micro tensile tests were applied to characterize the mechanical properties of single pure PAN, pure TPU and PAN/TPU core/shell composite fibers. The results indicated that the theoretically calculated core diameter had a good agreement with the electron microscopy measurement. The tensile tests indicated that as the core diameter increased, the elongation decreased while modulus increased. The tensile strength and toughness exhibited a complicated trend, where the increase and decrease were observed alternately. The strategy of adjusting the core diameter to modify the mechanical properties core/shell composite electrospun fibers could be applied to other core/shell material systems.",Coaxial Electrospinning; Composite Fiber; Core Size; Mechanical Property; Micro Tensile Testing
Carbon dots as emerging luminophores in security inks for anti-counterfeit applications - An up-to-date review,2021,152,10.1016/j.apmt.2021.101050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.apmt.2021.101050&partnerID=40&md5=b1f5aeda587754259992c4fbf724f9e8,"Amongst the various techniques that have been developed to combat counterfeits, security printing using advanced luminescent materials has been extensively used for a wide range of applications not only due to facile design, high-throughput production and simple operation, but also due to superior-level security features. Fluorescent carbon-based nanodots are a widely accepted emerging class of luminophores, which own exceptional optical properties. The initial section of the article presents the various synthetic and sustainable techniques that are adopted for the synthesis of luminescent carbon dots. Further, the recent advancements reported on the security inks formulated from various carbon-based nanomaterials such as carbon nanodots, carbon quantum dots, graphene quantum dots and carbonized polymer dots for realizing advanced anti-counterfeiting are highlighted. Moreover, based on the present critical challenges in using these carbon dots in fluorescent security ink formulations, the scope for future research developments to improve the existing security features are also discussed.",Anti-counterfeit; Carbon Dots; Data Protection; Fluorescence; Phosphorescence; Security Ink; Carbon; Crime; Nanocrystals; Optical Properties; Phosphorescence; Semiconductor Quantum Dots; Throughput; Anti-counterfeit; Carbon Dots; Carbon-based; High-throughput; Luminescent Material; Luminophores; Production Operations; Security Features; Security Inks; Security Printing; Fluorescence
A Soft Touch: Wearable Tactile Display of Softness Made of Electroactive Elastomers,2021,18,10.1002/admt.202100016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1002%2Fadmt.202100016&partnerID=40&md5=f8f377c0ad3a2cfbc718737f5d4be302,"Fingertip-mounted tactile displays of softness are needed for various virtual- or augmented-reality applications such as surgical simulation, tele-operation, computer-aided design, 3D model exploration, and tele-presence. Displaying a virtual softness on a fingertip requires the generation of quasi-static large displacements at moderate forces (as opposed to high-frequency small vibrations at high forces), via a deformable surface, to control both the contact area and the indentation depth of the skin. State-of-the-art actuation technologies are unable to combine simple structure, low weight, and low size, as well as energy efficiency and silent operation. Here, the progress on the development of a non-vibratory display of softness made of electroactive polymers is reported. It consists of a hydrostatically coupled dielectric elastomer actuator, shaped as a bubble interfaced to the fingertip, having a weight of 6 g. Prototypes can generate displacements up to 3.5 mm and forces up to 1 N. By combining this technology with a compact hand tracking sensor, a simple and cost-effective virtual-reality system is demonstrated. A psychophysical study engaging 15 volunteers in poke and pinch tactile tasks shows that users can properly distinguish between different stimuli rendered by the display, with an accuracy correlated to the perceptual difficulty of the tactile comparative task.",Actuators; Dielectric Elastomers; Soft; Tactile Displays; Wearables; 3d Modeling; Augmented Reality; Computer Aided Design; Conducting Polymers; Cost Effectiveness; Display Devices; Elastomers; Electroactive Polymer Actuators; Energy Efficiency; Mice (computer Peripherals); Three Dimensional Computer Graphics; Wearable Computers; Actuation Technologies; Augmented Reality Applications; Deformable Surfaces; Dielectric Elastomer Actuators; Electro-active Polymers; Psychophysical Studies; Surgical Simulation; Virtual Reality System; Virtual Reality
Methods for immobilizing receptors in microfluidic devices: A review,2021,40,10.1016/j.mne.2021.100085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.mne.2021.100085&partnerID=40&md5=227bb9468b5be4d41fedd241ddb914ea,"In this review article, we discuss state-of-the-art methods for immobilizing functional receptors in microfluidic devices. Strategies used to immobilize receptors in such devices are essential for the development of specific, sensitive (bio)chemical assays that can be used for a wide range of applications. In the first section, we review the principles and the chemistry of immobilization techniques that are the most commonly used in microfluidics. We afterward describe immobilization methods on static surfaces from microchannel surfaces to electrode surfaces with a particular attention to opportunities offered by hydrogel surfaces. Finally, we discuss immobilization methods on mobile surfaces with an emphasis on both magnetic and non-magnetic microbeads, and finally, we highlight recent developments of new types of mobile supports.",Functionalization; Microdevices; Microfluidics; Receptors; Surface Chemistry; Fluidic Devices; Electrode Surfaces; Functional Receptors; Hydrogel Surfaces; Immobilization Method; Immobilization Technique; Micro-fluidic Devices; Microchannel Surfaces; State-of-the-art Methods; Microfluidics
Measurement of cable forces for automated monitoring of engineering structures using fiber optic sensors: A review,2021,87,10.1016/j.autcon.2021.103687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1016%2Fj.autcon.2021.103687&partnerID=40&md5=1ee40e3c6b41c506f588188d208a2fbd,"Fiber optic sensors represent an innovative technology for automated measurement of cable forces which are critical in construction and operation of many civil engineering structures. This paper reviews the fiber optic sensors that have been developed and applied to measure cable forces, including fiber Bragg grating, interferometer, and fully distributed sensors. The reviewed contents of each sensor technology include the sensing principle, sensor design, deployment on cables, data analytics, and sensing performance. The interactive behaviors between the sensor and the cable are discussed regarding the impacts on the measurement performance and mechanical properties of the cable, considering the sensor package and deployment methods. The performance and technology readiness levels of the different fiber optic sensors are compared. A guide is provided to select appropriate sensors for specific applications. This review is expected to promote further development and applications of fiber optic sensors for intelligent measurement of cable forces.",Cable Force; Cable-stayed Bridge; Fiber Optic Sensor; Prestress Loss; Sensor Deployment; Suspension Bridge; Data Analytics; Fiber Bragg Gratings; Fiber Optics; Automated Monitoring; Cable Forces; Cable-stayed Bridge; Engineering Structures; Fibre-optic Sensor; Innovative Technology; Measurements Of; Performance; Prestress Loss; Sensors Deployments; Fiber Optic Sensors
Tunable Drop Splashing on Magnetoactive Elastomers,2021,12,10.1002/admi.202100235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1002%2Fadmi.202100235&partnerID=40&md5=8d23cde1bcfe7f857d821f9ab9c231e1,"The significant effect of an external dc magnetic field on the splashing behavior of ethanol drops impacting on the unstructured (flat) surface of soft magnetoactive elastomers (MAEs) is reported. The Weber number corresponding to the transition between the deposition and the splashing regime is reduced by ≈20% in a moderate magnetic field of ≈300 mT. Alongside this effect, a two-fold increase of the initial deceleration of the ejection sheet is observed for the softest sample. The main underlying mechanism for the observed phenomena is believed to be the magnetic-field-induced stiffening of the MAEs. Further possible mechanisms are magnetically induced changes in the surface roughness and magnetic-field-induced plasticity (magnetic shape memory effect). The potential application areas are magnetically regulable wetting and magneto-responsive surfaces for controlling the drop splashing.",Drop Deposition; Drop Splashing; Dynamic Contact Angle; Ejection Sheet; Magneto-responsive Surfaces; Magnetoactive Elastomers; Drops; Elastomers; Magnetic Fields; Magnetic Shape Memory; Surface Roughness; Application Area; Dc Magnetic Field; Drop Splashing; Possible Mechanisms; Responsive Surfaces; Weber Numbers; Wetting
Precision motion control of a piezoelectric cantilever positioning system with rate-dependent hysteresis nonlinearities,2021,23,10.1007/s11071-021-06460-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1007%2Fs11071-021-06460-w&partnerID=40&md5=4bf3bc4c3dfe5ad052107d05ed154018,"The study proposed a feedforward– feedback combined architecture to control a piezoelectric motion system with rate-dependent hysteresis nonlinearities. First, the feedforward control that considered the inverse rate-dependent Prandtl–Ishlinskii (RDPI) model was presented. Based on the inverse RDPI model, a formula that characterizes the output of the inverse compensation considering modeling errors and uncertainties was obtained. More precisely, the output of the inverse compensation of RDPI model consists of an invertible linear term and a bounded nonlinear term. Afterward, the feedforward control is extended with a feedback control architecture. In order to satisfy performance criteria in the presence of the uncertainties, the design of the feedback controller was based on the performances inclusion theorem from interval techniques. Experiments were conducted on a piezoelectric actuator to confirm the effectiveness of the combined feedforward–feedback control.",Feedforward–feedback Control; Hysteresis Nonlinearity; Interval Control Technique; Piezoelectric Actuators; Rate-dependent Prandtl–ishlinskii Model; Control Nonlinearities; Feedback Control; Hysteresis; Inverse Problems; Piezoelectric Actuators; Piezoelectricity; Uncertainty Analysis; Control Architecture; Feedback Controller; Inverse Compensation; Performance Criterion; Piezoelectric Cantilevers; Positioning System; Precision Motion Control; Rate-dependent Hysteresis; Feedforward Control
"Engineering Hydrogel-Based Biomedical Photonics: Design, Fabrication, and Applications",2021,120,10.1002/adma.202006582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-null&doi=10.1002%2Fadma.202006582&partnerID=40&md5=c15138db65fd83ef87f73bdee47af0f5,"Light guiding and manipulation in photonics have become ubiquitous in events ranging from everyday communications to complex robotics and nanomedicine. The speed and sensitivity of light–matter interactions offer unprecedented advantages in biomedical optics, data transmission, photomedicine, and detection of multi-scale phenomena. Recently, hydrogels have emerged as a promising candidate for interfacing photonics and bioengineering by combining their light-guiding properties with live tissue compatibility in optical, chemical, physiological, and mechanical dimensions. Herein, the latest progress over hydrogel photonics and its applications in guidance and manipulation of light is reviewed. Physics of guiding light through hydrogels and living tissues, and existing technical challenges in translating these tools into biomedical settings are discussed. A comprehensive and thorough overview of materials, fabrication protocols, and design architectures used in hydrogel photonics is provided. Finally, recent examples of applying structures such as hydrogel optical fibers, living photonic constructs, and their use as light-driven hydrogel robots, photomedicine tools, and organ-on-a-chip models are described. By providing a critical and selective evaluation of the field's status, this work sets a foundation for the next generation of hydrogel photonic research.","3d Printing; Hydrogel Photonics; Light-driven Robots; Multi-responsive Hydrogels; Optical Sensing; Organ-on-chip; Photomedicine; Biocompatible Materials; Hydrogels; End Effectors; Engineering Research; Light; Medical Nanotechnology; Network Architecture; Optical Fiber Fabrication; Optical Fibers; Photonics; Tissue; Biomedical Optics; Design Architecture; Its Applications; Light Guiding; Living Tissues; Mechanical Dimensions; Photomedicine; Technical Challenges; Hydrogels; Biomaterial; Animal; Cell Culture Technique; Chemistry; Devices; Drug Delivery System; Elastic Tissue; Human; Hydrogel; Metabolism; Optics; Surface Property; Three Dimensional Printing; Tissue Engineering; Animals; Biocompatible Materials; Cell Culture Techniques; Drug Delivery Systems; Elastic Tissue; Equipment And Supplies; Humans; Optics And Photonics; Printing, Three-dimensional; Surface Properties; Tissue Engineering"
