Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,Link,Publisher,Document Type,Source,EID
Tchekep A.G.K.; Muneeswari S.B.R.; Deepika J.; Suryanarayanan V.; Pattanayak D.K.,"Tchekep, A. G. Kamaha (57923402900); Muneeswari, S. B. Ramamani (60256747400); Deepika, J. (60256857400); Suryanarayanan, V. (6601983766); Pattanayak, Deepak K. (7006788481)",57923402900; 60256747400; 60256857400; 6601983766; 7006788481,Graphitic carbon nitride supported pristine carbon nanotubes for highly sensitive and selective electroanalysis of vitamin C in pharmaceutical and fruit samples,2025,New Journal of Chemistry,49,45,,19668,19678,0,https://www.scopus.com/pages/publications/105025960184?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105025960184
Lin Y.-P.; Chen W.-H.; Fan S.-C.; Cheng K.-W.,"Lin, Yu-Peng (58814179100); Chen, Wen-Hsuan (59498441200); Fan, Shao-Chien (60129024800); Cheng, Kong-Wei (35241862500)",58814179100; 59498441200; 60129024800; 35241862500,Evaluation of cell performance for Zn-CO2 batteries using bifunctional honeycomb-like ZnS/CuxS and S-doped NiO/Co3O4 electrocatalysts on Ni foams as gas cathodes,2025,Journal of Energy Storage,139,,118560,,,2,https://www.scopus.com/pages/publications/105017955857?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105017955857
Shen K.; Xiong Z.; Li Y.; Wu X.; Bai J.; Liu Z.; Giyasov S.; Nuriddinov K.Z.; Lv S.; Shi W.; Cui X.; Xiong C.; Lin L.; Papageorgiou A.; Tie D.,"Shen, Kai (58713059800); Xiong, Zhaoting (59210313000); Li, Yi (59179550600); Wu, Xia (59179842800); Bai, Jingyuan (57208655806); Liu, Zhihui (57216948612); Giyasov, Shukhrat (57218862116); Nuriddinov, Khusniddin Z. (59983393900); Lv, Shaoyuan (60078644900); Shi, Wenqing (15846564500); Cui, Xiaoli (55653318100); Xiong, Chunmei (60078081600); Lin, Liangjun (59001327700); Papageorgiou, Anastassios (7101912260); Tie, Di (59956515100)",58713059800; 59210313000; 59179550600; 59179842800; 57208655806; 57216948612; 57218862116; 59983393900; 60078644900; 15846564500; 55653318100; 60078081600; 59001327700; 7101912260; 59956515100,Mechanistic insights into the superhydrophobic behavior of stearic acid-functionalized microscale re-entrant architectures,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,727,,138163,,,2,https://www.scopus.com/pages/publications/105014595682?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105014595682
Fita S.W.; Bonek M.; Woźniak A.; Sławski S.,"Fita, Sichale W. (60235677600); Bonek, Mirosław (6508053078); Woźniak, Anna (57197737251); Sławski, Sebastian (57207255533)",60235677600; 6508053078; 57197737251; 57207255533,"Advances in Titanium-Based Biomaterial for Human Bone Scaffolds: Narrative Review on Design, Fabrication, Surface Engineering, Implantation, and Biological Evaluation",2025,Materials,18,23,5421,,,4,https://www.scopus.com/pages/publications/105024578266?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),Review,Scopus,2-s2.0-105024578266
Cayron R.D.H.T.; Austria H.F.M.; Huang T.-H.; Carballo G.V.; Nayak S.; Caparanga A.R.; Hung W.-S.; Lee K.-R.; Lai J.-Y.,"Cayron, R.D. Hope T. (58409550400); Austria, Hannah Faye M. (57208210921); Huang, Tsung-Han (57224855078); Carballo, Gabriel V. (58879354200); Nayak, Smrutiranjan (58827751500); Caparanga, Alvin R. (26436335500); Hung, Wei-Song (22940523500); Lee, Kueir-Rarn (57223703588); Lai, Juin-Yih (26643223500)",58409550400; 57208210921; 57224855078; 58879354200; 58827751500; 26436335500; 22940523500; 57223703588; 26643223500,"Hofmeister-regulated fabrication of piezoelectric β-PVDF membrane: The specific ion effect on the membrane formation, piezoelectric property, and anti-fouling performance",2025,Chemical Engineering Journal,525,,170223,,,0,https://www.scopus.com/pages/publications/105020376148?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105020376148
Xiang G.; Yin B.; Shiroud Heidari B.; Youssef G.; Gosecka M.; Gosecki M.; Torres F.G.; Wong S.H.D.; Dodda J.M.,"Xiang, Guangli (58260025500); Yin, Bohan (57201380097); Shiroud Heidari, Behzad (58101451400); Youssef, George (27068072500); Gosecka, Monika (41561209600); Gosecki, Mateusz (54683890300); Torres, Fernando G. (25822838300); Wong, Siu Hong Dexter (60120009700); Dodda, Jagan Mohan (55885036300)",58260025500; 57201380097; 58101451400; 27068072500; 41561209600; 54683890300; 25822838300; 60120009700; 55885036300,"Programmable Hydrogels: Frontiers in Dynamic Closed-Loop Systems, Biomimetic Synergy, and Clinical Translation",2025,Advanced Science,12,47,e12037,,,17,https://www.scopus.com/pages/publications/105021498675?origin=resultslist,John Wiley and Sons Inc,Review,Scopus,2-s2.0-105021498675
Peng Y.; Zhou S.; Xing X.; Zhang X.; Mao N.; Meng K.; Yang X.; Liu Y.,"Peng, Yutian (59412663400); Zhou, Shiduo (60230353100); Xing, Xiaowei (58774481600); Zhang, Xingyu (58733514100); Mao, Nan (59439937300); Meng, Kai (7005208020); Yang, Xuhong (57191642075); Liu, Yuqing (55894841800)",59412663400; 60230353100; 58774481600; 58733514100; 59439937300; 7005208020; 57191642075; 55894841800,Kinetically Tuning the Structural Assembly of Silk Fibroin for Highly Piezoelectric Wearable Sensors,2025,Langmuir,41,48,,32777,32789,2,https://www.scopus.com/pages/publications/105024249525?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105024249525
Chen Y.; Tan T.; Yan Z.,"Chen, Yinghua (57538378000); Tan, Ting (54387464000); Yan, Zhimiao (54387681000)",57538378000; 54387464000; 54387681000,General-purpose mechanical computing enabled by origami circuit reconfiguration with robotic addressing and activation,2025,Nature Communications ,16,1,10483,,,1,https://www.scopus.com/pages/publications/105022918806?origin=resultslist,Nature Research,Article,Scopus,2-s2.0-105022918806
Feng Y.; Huang N.,"Feng, Yaoqian (59218795800); Huang, Ning (56090406900)",59218795800; 56090406900,Porphyrin and phthalocyanine-based covalent organic frameworks for electrocatalytic CO2 reduction: from structural design to future perspectives,2025,Green Chemistry,27,47,,15002,15023,3,https://www.scopus.com/pages/publications/105023575104?origin=resultslist,Royal Society of Chemistry,Review,Scopus,2-s2.0-105023575104
Yan C.; Wang M.; Fang J.; Liu S.; Chen W.; Lu X.; Zhou G.,"Yan, Chuan (57226367581); Wang, Min (55553729059); Fang, Jing (57911287600); Liu, Si (57219357212); Chen, Weinan (57207852282); Lu, Xuefeng (55619293348); Zhou, Gang (56564131400)",57226367581; 55553729059; 57911287600; 57219357212; 57207852282; 55619293348; 56564131400,"Stable Diphenylamine-Substituted Tris(2,4,6-trichlorophenyl)methyl Radical Oligomers: Synthesis, Optical Properties, and Redox Chemistry",2025,Chinese Journal of Chemistry,43,23,,3133,3141,0,https://www.scopus.com/pages/publications/105015355061?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105015355061
