Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,Link,Publisher,Document Type,Source,EID
Liu Z.; Wan X.; Tang H.; Qi Z.-M.,"Liu, Ziwei (57221618492); Wan, Xiumei (57190213221); Tang, Hongyi (58029434800); Qi, Zhi-mei (7202289861)",57221618492; 57190213221; 58029434800; 7202289861,Nondestructive multiparameter quantification of nanoporous films by broadband SPR/PWR spectroscopy,2025,Analyst ,150,24,,5432,5444,0,https://www.scopus.com/pages/publications/105023543329?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105023543329
Correia C.; Cruz-Moreira D.; Gonçalves F.S.; Cardoso V.F.; Paiva M.C.; Reis R.L.; Pashkuleva I.; Peixoto D.; Alves N.M.,"Correia, Cátia (58850267100); Cruz-Moreira, Daniela (57192681166); Gonçalves, Fábio S. (60252901500); Cardoso, Vanessa F. (24778157800); Paiva, Maria C. (7101676947); Reis, Rui L. (57211930164); Pashkuleva, Iva (57197790406); Peixoto, Daniela (56165882000); Alves, Natália M. (7006403395)",58850267100; 57192681166; 60252901500; 24778157800; 7101676947; 57211930164; 57197790406; 56165882000; 7006403395,Multifunctional Hyaluronic Acid/Graphite Nanoplatelet Hydrogels as Tools for Spinal Cord Regeneration,2025,ACS Applied Materials and Interfaces,17,51,,69196,69208,0,https://www.scopus.com/pages/publications/105025661603?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105025661603
Wang X.; Wang G.; Xu X.; Xu T.; He Y.; Zhang X.; Yang S.; Fan J.; An X.,"Wang, Xiaohao (58745071900); Wang, Guojing (59748767000); Xu, Xiaolin (55706142100); Xu, Tong (60129894500); He, Yiwei (59748758700); Zhang, Xiaoyu (59075802800); Yang, Sihui (59326361000); Fan, Jianhuan (60129081400); An, Xiongfang (57215426279)",58745071900; 59748767000; 55706142100; 60129894500; 59748758700; 59075802800; 59326361000; 60129081400; 57215426279,"In-situ assembled biochar-yeast hybrid for tetracycline detoxification: Unparalleled robustness, toxicity assessment, and multi-omics analysis",2025,Chemical Engineering Journal,526,,171170,,,3,https://www.scopus.com/pages/publications/105022658568?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105022658568
Azeem M.; Noman M.T.; Amor N.; Petru M.,"Azeem, Musaddaq (57194615401); Noman, Muhammad Tayyab (57213652534); Amor, Nesrine (57219400874); Petru, Michal (54950669200)",57194615401; 57213652534; 57219400874; 54950669200,Alternative and Sustainable Technologies for Freshwater Generation: From Fog Harvesting to Novel Membrane-Based Systems,2025,Textiles (Switzerland),5,4,43,,,4,https://www.scopus.com/pages/publications/105025947328?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),Review,Scopus,2-s2.0-105025947328
Hefnawy A.; Aziz Aljar M.A.; Abd-Rabboh H.S.M.; Kamel A.H.,"Hefnawy, A. (16174905600); Aziz Aljar, Mona A. (57215871743); Abd-Rabboh, Hisham S. M. (60626710200); Kamel, Ayman H. (57880255400)",16174905600; 57215871743; 60626710200; 57880255400,Functionalized asymmetric PVC membrane with molecularly imprinted beads for potentiometric sensing of tetrabromobisphenol A (TBBPA),2025,Environmental Science: Nano,12,12,,5281,5295,0,https://www.scopus.com/pages/publications/105023950430?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105023950430
Tabrizi N.; Ghafori-Gorab M.; Kashtiaray A.; Karimi M.; Aghamirza Moghim Aliabadi H.; Adibzadeh S.; Maleki A.,"Tabrizi, Nadereh (57190844758); Ghafori-Gorab, Mostafa (57212198425); Kashtiaray, Amir (35423683800); Karimi, Mahdi (59871544500); Aghamirza Moghim Aliabadi, Hooman (58976856200); Adibzadeh, Setare (57191448384); Maleki, Ali (13003446500)",57190844758; 57212198425; 35423683800; 59871544500; 58976856200; 57191448384; 13003446500,Application of nanozyme-based biosensors in pesticide residue detection: a review,2025,Materials Advances,6,24,,9272,9295,3,https://www.scopus.com/pages/publications/105024544618?origin=resultslist,Royal Society of Chemistry,Review,Scopus,2-s2.0-105024544618
Guo Y.; Guo W.; Wu Z.; Xu H.; Zhang X.; Zou X.; Sun Z.,"Guo, Yiqing (59124811700); Guo, Wang (59187122500); Wu, Zhiwei (59773988800); Xu, Hong (59508214200); Zhang, Xinai (56178054800); Zou, Xiaobo (8878484700); Sun, Zongbao (35745197200)",59124811700; 59187122500; 59773988800; 59508214200; 56178054800; 8878484700; 35745197200,A Microfluidic Chip-Based Electrochemical Biosensor Coupled with CRISPR/Cas12a for Simultaneous Detection of Foodborne Pathogens,2025,Analytical Chemistry,97,49,,27266,27275,9,https://www.scopus.com/pages/publications/105024889545?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105024889545
"Trepka E.; Cooper L.; Brinson K., Jr; Thompson S.; Malinao M.G.; Rommelfanger N.J.; Fordyce P.; Hong G.","Trepka, Ethan (57224930452); Cooper, Lauren (59732673500); Brinson, Kenneth (57212576930); Thompson, Samuel (57212595275); Malinao, Marigold Gil (57205684233); Rommelfanger, Nicholas J. (57193109586); Fordyce, Polly (6603095509); Hong, Guosong (26531314100)",57224930452; 59732673500; 57212576930; 57212595275; 57205684233; 57193109586; 6603095509; 26531314100,Acoustic printing of conductive polymers,2025,Proceedings of the National Academy of Sciences of the United States of America,122,48,e2509652122,,,3,https://www.scopus.com/pages/publications/105022761466?origin=resultslist,National Academy of Sciences,Article,Scopus,2-s2.0-105022761466
Wang X.; Shang D.; Lin H.; Han S.,"Wang, Xinru (60168765500); Shang, Di (60168765600); Lin, Hualin (25824372000); Han, Sheng (59040962300)",60168765500; 60168765600; 25824372000; 59040962300,Zn optimizes hard carbon to promote the rapid storage behavior of lithium,2025,Journal of Alloys and Compounds,1047,,185089,,,1,https://www.scopus.com/pages/publications/105022072271?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105022072271
Madhusha C.; Naseri N.; Jovanović P.; Panda M.R.; El Meragawi S.; Polyzos A.; Gresil M.; Majumder M.,"Madhusha, Chamalki (57218594669); Naseri, Naimeh (16053053200); Jovanović, Petar (57214335318); Panda, Manas Ranjan (57201687650); El Meragawi, Sally (57008137900); Polyzos, Anastasios (21934808800); Gresil, Matthieu (36466341100); Majumder, Mainak (35111409000)",57218594669; 16053053200; 57214335318; 57201687650; 57008137900; 21934808800; 36466341100; 35111409000,Green Mechanochemical Production of Amino-Acid-Derived N-Doped Graphene for Functional Vitrimer Composites,2025,ACS Sustainable Chemistry and Engineering,13,50,,21672,21685,0,https://www.scopus.com/pages/publications/105025192601?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105025192601
Sun H.; Wang S.; Wang P.; Bai L.; Tan M.; Yang F.; Wang R.; He X.,"Sun, Huiqi (57226824143); Wang, Sai (57191711519); Wang, Peipei (57221238248); Bai, Ling (58666832800); Tan, Mingyi (57201655956); Yang, Fan (56542192400); Wang, Rongguo (7405339931); He, Xiaodong (55589681000)",57226824143; 57191711519; 57221238248; 58666832800; 57201655956; 56542192400; 7405339931; 55589681000,"Highly Stretchable, Adhesive, and Conductive PEDOT Nanocomposite Hydrogels for High-Performance Flexible Bioelectronics",2025,Advanced Science,12,48,e13487,,,16,https://www.scopus.com/pages/publications/105018506142?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105018506142
Wang T.; Li P.; Lin X.; Wang Y.; Feng Z.; Hao Z.; Fang S.; Liu H.,"Wang, Tanyu (57226759212); Li, Peng (57211534473); Lin, Xiaoping (57955896900); Wang, Yingying (60232319200); Feng, Zhuo (60232444600); Hao, Zhifeng (60232418400); Fang, Shu (57202302968); Liu, Hao (58653095800)",57226759212; 57211534473; 57955896900; 60232319200; 60232444600; 60232418400; 57202302968; 58653095800,Optimization strategies for an electrospinning-based wearable strain sensor: from materials to structure,2025,Journal of Materials Chemistry A,13,46,,39660,39686,0,https://www.scopus.com/pages/publications/105024419925?origin=resultslist,Royal Society of Chemistry,Review,Scopus,2-s2.0-105024419925
Wu W.; Wang W.; Li G.; Wang S.; Lu M.; Tan X.; Tang Y.,"Wu, Wanqin (26327162700); Wang, Wei (57224115758); Li, Guizhen (57198457425); Wang, Shenghan (58294217900); Lu, Mingrong (57721296500); Tan, Xuewen (55218567000); Tang, Yi (56815972000)",26327162700; 57224115758; 57198457425; 58294217900; 57721296500; 55218567000; 56815972000,Combination of back-propagation neural network and genetic algorithm: a novel strategy for condition optimization and mechanistic investigation of ofloxacin adsorption by N-Nb2CTx,2025,Separation and Purification Technology,376,,133943,,,4,https://www.scopus.com/pages/publications/105008098012?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105008098012
Wu W.,"Wu, Wenhan (57705558700)",57705558700,Shaping the Future of Surgical Procedures: A Bibliometric Analysis of Advanced Polymeric Surgical Materials Research in the Last Decade,2025,Surgical Innovation,32,6,,524,535,1,https://www.scopus.com/pages/publications/105013503812?origin=resultslist,SAGE Publications Inc.,Article,Scopus,2-s2.0-105013503812
Thiyyadi D.; Ramakrishnan V.; Shankar B.; Vijayan L.,"Thiyyadi, Dev (60152430700); Ramakrishnan, Vandana (60152294200); Shankar, Balakrishnan (37036165800); Vijayan, Lekshmi (57203849852)",60152430700; 60152294200; 37036165800; 57203849852,Electrochemical biosensors for urea detection: recent trends and future perspectives,2025,Microchemical Journal,219,,115805,,,6,https://www.scopus.com/pages/publications/105019558094?origin=resultslist,Elsevier Inc.,Review,Scopus,2-s2.0-105019558094
Zhao Y.; Wang Y.; Sheng W.; Xia Q.; Li X.; Stoika R.; Cai L.; Wang L.,"Zhao, Yanwen (60240112300); Wang, Yu (60239969800); Sheng, Wenlong (57203510073); Xia, Qing (57208658107); Li, Xiaobin (55674338300); Stoika, Rostyslav (56144795900); Cai, Lei (57193520898); Wang, Lizhen (56034119100)",60240112300; 60239969800; 57203510073; 57208658107; 55674338300; 56144795900; 57193520898; 56034119100,A Multicomponent Salmon PDRN/Sodium Alginate/Gelatin Hydrogel Promotes Infected Wound Repair in Rat,2025,ACS Applied Bio Materials,8,12,,10742,10757,1,https://www.scopus.com/pages/publications/105024903367?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105024903367
Locatelli S.; Ronco L.I.; Prato M.; Minari R.J.; Luque G.C.,"Locatelli, Sebastián (59661908600); Ronco, Ludmila I. (55568046400); Prato, Maurizio (56423307400); Minari, Roque J. (11240037000); Luque, Gisela C. (54784976900)",59661908600; 55568046400; 56423307400; 11240037000; 54784976900,Conductive soft gels for skeletal muscle electrostimulation and repair: an overview,2025,Journal of Materials Chemistry B,14,5,,1474,1493,1,https://www.scopus.com/pages/publications/105027237349?origin=resultslist,Royal Society of Chemistry,Review,Scopus,2-s2.0-105027237349
Reddy N.P.; Naik R.J.; Purusottam Reddy B.; Ahn C.-H.; Dhanalakshmi R.; Park S.-H.,"Reddy, Nandarapu Purushotham (57220647991); Naik, Ramavath Janraj (59337024100); Purusottam Reddy, B. (56200010300); Ahn, Chang-Hoi (35068982800); Dhanalakshmi, Radhalayam (56545437800); Park, Si-Hyun (7501829769)",57220647991; 59337024100; 56200010300; 35068982800; 56545437800; 7501829769,Synergistic NiCo2S4/graphene quantum dot nanosheets for superior electrochemical performance in asymmetric supercapacitors,2025,Journal of Power Sources,660,,238542,,,2,https://www.scopus.com/pages/publications/105018122695?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105018122695
Nie X.; Li S.; Sun M.; Liu Z.; Liu K.,"Nie, Xiaoyan (57210461643); Li, Shuyu (57876965900); Sun, Mingyan (57831629400); Liu, Zhaoyue (15048259500); Liu, Kesong (35083914200)",57210461643; 57876965900; 57831629400; 15048259500; 35083914200,Conducting Polymer Nanofluidic Membrane for Electrically Regulated Osmotic Energy Harvesting,2025,Small,21,51,e10562,,,0,https://www.scopus.com/pages/publications/105020592836?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105020592836
Ji Y.; Kim T.; Jang I.; Lee J.B.,"Ji, Yoonbin (57232865400); Kim, Taehyeon (58926200000); Jang, Iksoo (59521609700); Lee, Jong Bum (54916981700)",57232865400; 58926200000; 59521609700; 54916981700,Electrochromic DNA-based bioink with rapid interfacial gelation for bioprinting applications,2025,Nanoscale Horizons,10,12,,3499,3505,1,https://www.scopus.com/pages/publications/105022118088?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105022118088
Reda A.T.; Kwon S.; Choi S.S.; Cho C.; Park Y.T.,"Reda, Alemtsehay Tesfay (59757373800); Kwon, Subin (60082811800); Choi, Shin Sik (60083453900); Cho, Chungyeon (35083287400); Park, Yong Tae (57138949200)",59757373800; 60082811800; 60083453900; 35083287400; 57138949200,Stirring-assisted layered coating of polyurethane foam for antimicrobial activity and flame retardant,2025,Applied Surface Science,714,,164407,,,3,https://www.scopus.com/pages/publications/105014942755?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105014942755
Tatlisoz M.M.; Canpolat C.,"Tatlisoz, Mehmet Melih (57193703618); Canpolat, Cetin (35322031500)",57193703618; 35322031500,Investigation of Xanthine Oxidase Activity With Physics-Informed Neural Networks and Finite Element Analysis,2025,ChemistrySelect,10,48,e04292,,,0,https://www.scopus.com/pages/publications/105025520501?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105025520501
Zou Y.; Yang D.; Liu G.; Huang J.; Wang C.; Wang S.; Iqbal S.,"Zou, Yubo (57188806948); Yang, Dongchuan (60124071900); Liu, Guocong (56136745100); Huang, Jingyi (60124131200); Wang, Chunhua (57130279400); Wang, Shanxing (57201904134); Iqbal, Shahid (57217467857)",57188806948; 60124071900; 56136745100; 60124131200; 57130279400; 57201904134; 57217467857,Confined templated-synthesized graphene/polyaniline hydrogel cathode integrated with aramid nanofiber hydrogel electrolyte toward high-performance Zn-ion hybrid supercapacitors,2025,Journal of Power Sources,660,,238485,,,5,https://www.scopus.com/pages/publications/105017691332?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105017691332
Mahajan P.G.; Dige N.C.; Bhosale S.D.; Shinde M.S.; Patil R.M.; Gaikwad J.M.; Kamaraj E.,"Mahajan, Prasad G. (56402797300); Dige, Nilam C. (56938712300); Bhosale, Supriya D. (60234918400); Shinde, Madhuri S. (60235070800); Patil, Rhishikesh M. (57190161989); Gaikwad, Jagan M. (60235383400); Kamaraj, Eswaran (57193278628)",56402797300; 56938712300; 60234918400; 60235070800; 57190161989; 60235383400; 57193278628,"Rapid, Selective, and Sensitive Detection of Silver Ions Using Thiourea-Based Schiff Base as Colorimetric Chemosensor",2025,ChemistrySelect,10,47,e04232,,,0,https://www.scopus.com/pages/publications/105024601582?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105024601582
Zhao N.; Wang Y.; Jin X.; Li Y.,"Zhao, Naixin (58856419800); Wang, Yonglin (57556607500); Jin, Xin (60170495900); Li, Yuning (8221835300)",58856419800; 57556607500; 60170495900; 8221835300,An Intrinsically Conductive Cross-Conjugated Polymer with a Quinhydrone-Like Donor–Acceptor Charge-Transfer Network,2025,Angewandte Chemie - International Edition,64,52,e18109,,,1,https://www.scopus.com/pages/publications/105020796497?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105020796497
Fakhrali A.; Semnani D.; Ebadi S.V.,"Fakhrali, Aref (55574792700); Semnani, Dariush (23009830900); Ebadi, Seyed Vahid (56597785600)",55574792700; 23009830900; 56597785600,"Electroactive nanofibrous actuators based on polyurethane/polypyrrole/MXene: Fabrication, characterization, and performance evaluation",2025,Sensors and Actuators A: Physical,396,,117199,,,1,https://www.scopus.com/pages/publications/105026968481?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105026968481
Natesan M.; Chen Y.-C.,"Natesan, Manjula (57222517367); Chen, Ying-Chu (56843997800)",57222517367; 56843997800,Temperature-driven phase engineering of spinel ZnCo2O4 catalyst for sensitive detection of fungicide in environmental sample,2025,Applied Surface Science,714,,164368,,,7,https://www.scopus.com/pages/publications/105013773024?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105013773024
Ragab D.; Saha D.K.; Rendon-Morales E.; Godaba H.,"Ragab, Dana (59535148000); Saha, Dip Kumar (57216694064); Rendon-Morales, Elizabeth (35204067900); Godaba, Hareesh (56372143200)",59535148000; 57216694064; 35204067900; 56372143200,Compact Planar Low-Voltage Electroadhesion Pads for Reversible Tissue and Hydrogel Adhesion,2025,Advanced Materials Technologies,10,23,e01189,,,1,https://www.scopus.com/pages/publications/105019508889?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105019508889
Landgraf J.B.; Gupta Y.; Prasetio A.; Lange S.; Messmer C.; Schwarz C.; Fischer O.; Chanthalavong S.; Er-raji O.; Camarada M.B.; De Wolf S.; Schulze P.S.C.; Fischer A.; Glunz S.W.; Borchert J.,"Landgraf, Jann B. (58559169800); Gupta, Yashika (56973478000); Prasetio, Adi (57194438759); Lange, Stefan (57218645891); Messmer, Christoph (57200276350); Schwarz, Christian (59957889500); Fischer, Oliver (57994219400); Chanthalavong, Sithisak (59958529700); Er-raji, Oussama (57842644400); Camarada, María B. (24400669200); De Wolf, Stefaan (9333978000); Schulze, Patricia S. C. (57193834058); Fischer, Anna (36666196600); Glunz, Stefan W. (7004114588); Borchert, Juliane (56379970500)",58559169800; 56973478000; 57194438759; 57218645891; 57200276350; 59957889500; 57994219400; 59958529700; 57842644400; 24400669200; 9333978000; 57193834058; 36666196600; 7004114588; 56379970500,Understanding Postdeposition Treatments of Hole-Transporting Self-Assembling Molecules for Perovskite/Silicon Tandem Solar Cells,2025,Advanced Functional Materials,35,49,e08186,,,18,https://www.scopus.com/pages/publications/105008751009?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105008751009
Hu X.; Wu R.; Naresh N.; Fan Y.; Wang T.; Pinnock I.; Ganose A.M.; Singh S.; Parkin I.P.; Boruah B.D.,"Hu, Xueqing (59445023700); Wu, Ruiqi (58553316000); Naresh, Nibagani (42561837600); Fan, Yujia (58971343000); Wang, Tianlei (57224214911); Pinnock, Iman (58992225100); Ganose, Alex M. (56872913700); Singh, Sobhit (57201871263); Parkin, Ivan P. (56217400400); Boruah, Buddha Deka (56658565100)",59445023700; 58553316000; 42561837600; 58971343000; 57224214911; 58992225100; 56872913700; 57201871263; 56217400400; 56658565100,Controlling Zn2+ hydration shell dynamics for long-life zinc anodes in zinc-ion energy storage,2025,Chemical Engineering Journal,526,,171196,,,3,https://www.scopus.com/pages/publications/105022903350?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105022903350
Nečas D.; Němeček D.; Gregora J.; Rebenda D.; Kadlecová Z.; Chamradová I.; Trudičová M.; Čípek P.; Čípek P.; Šnajdárek L.; Vojtová L.; Vrbka M.; Křupka I.; Hartl M.,"Nečas, David (56635672600); Němeček, Daniel (60258892900); Gregora, Jan (60119004300); Rebenda, David (57195631117); Kadlecová, Zuzana (57890266400); Chamradová, Ivana (55241696400); Trudičová, Monika (57207823371); Čípek, Pavel (57211315176); Čípek, Petr (58527835400); Šnajdárek, Ladislav (55324899500); Vojtová, Lucy (12039667200); Vrbka, Martin (15043189700); Křupka, Ivan (7003761891); Hartl, Martin (7005196946)",56635672600; 60258892900; 60119004300; 57195631117; 57890266400; 55241696400; 57207823371; 57211315176; 58527835400; 55324899500; 12039667200; 15043189700; 7003761891; 7005196946,"Toward Cartilage-Mimicking Biomaterials: Biotribological, Biochemical and Structural Evaluation of pHEMA and PVA-Based Hydrogels",2025,ACS Omega,10,51,,63441,63454,1,https://www.scopus.com/pages/publications/105026109454?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105026109454
Wijitsak J.; Boonprab T.; Harding P.; Harding D.J.; Clegg J.K.; Kaewket K.; Jakkrawhad C.; Nijpanich S.; Wannapaiboon S.; Kaewraung W.; Suthirakun S.; Ngamchuea K.,"Wijitsak, Jinnapat (58659827500); Boonprab, Theerapoom (57195674863); Harding, Phimphaka (14009789800); Harding, David J. (11140951700); Clegg, Jack K. (8212469500); Kaewket, Keerakit (57218599904); Jakkrawhad, Chanida (57460375000); Nijpanich, Supinya (55763711200); Wannapaiboon, Suttipong (26422691400); Kaewraung, Wongsathorn (58830970100); Suthirakun, Suwit (36864540000); Ngamchuea, Kamonwad (56397069500)",58659827500; 57195674863; 14009789800; 11140951700; 8212469500; 57218599904; 57460375000; 55763711200; 26422691400; 58830970100; 36864540000; 56397069500,Redox-engineered copper(II) methylthio-imidazole Schiff base complex for electrochemical detection of creatinine as a kidney disease biomarker,2025,Sensors and Actuators B: Chemical,445,,138590,,,2,https://www.scopus.com/pages/publications/105014283377?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105014283377
Hossny N.E.; Ismaeil M.; Saeed A.M.,"Hossny, Nagham E. (60195628200); Ismaeil, Mohamed (59454670100); Saeed, Ali M. (57208574858)",60195628200; 59454670100; 57208574858,Bioremediation and optimization of selenate reduction by a novel Bacillus cabrialesii strain (Se1) producing red selenium nanoparticles with potential antibacterial activity,2025,BMC Microbiology,25,1,746,,,0,https://www.scopus.com/pages/publications/105021943818?origin=resultslist,BioMed Central Ltd,Article,Scopus,2-s2.0-105021943818
Wang S.; Li H.; Fan S.; Chen L.; Zhou H.; Pérez-Juste J.; Pastoriza-Santos I.; Wong K.-Y.; Zheng G.,"Wang, Shenli (57222612507); Li, Haoyu (57848240800); Fan, Shengshi (59213151000); Chen, Lishui (35764198100); Zhou, Haibo (55877882600); Pérez-Juste, Jorge (6701720784); Pastoriza-Santos, Isabel (6603491232); Wong, Kwok-yin (55673310800); Zheng, Guangchao (56591264700)",57222612507; 57848240800; 59213151000; 35764198100; 55877882600; 6701720784; 6603491232; 55673310800; 56591264700,Chiral Plasmonic Sensors: Fundamentals and Emerging Applications,2025,Angewandte Chemie - International Edition,64,51,e202514816,,,13,https://www.scopus.com/pages/publications/105018846887?origin=resultslist,John Wiley and Sons Inc,Review,Scopus,2-s2.0-105018846887
Vikartovský A.; Košútová N.; Lorencová L.; Kasák P.; Bertók T.; Tkáč J.,"Vikartovský, Andrej (59715813300); Košútová, Natália (58317801200); Lorencová, Lenka (57190308240); Kasák, Peter (6506767573); Bertók, Tomáš (54950128600); Tkáč, Ján (35575069000)",59715813300; 58317801200; 57190308240; 6506767573; 54950128600; 35575069000,Cutting-Edge Aptasensing Approaches for Electrochemical Detection of Exosomes Utilizing MXenes,2025,ChemElectroChem,12,24,e202400713,,,3,https://www.scopus.com/pages/publications/105001445720?origin=resultslist,John Wiley and Sons Inc,Review,Scopus,2-s2.0-105001445720
Cysewska K.; Litowczenko J.; Jasiński P.,"Cysewska, Karolina (56730969000); Litowczenko, Jagoda (57191627557); Jasiński, Piotr (25023786700)",56730969000; 57191627557; 25023786700,Endothelial Cytotoxicity of Drug-Doped Polypyrrole Coatings on Biodegradable Iron for Stent Applications,2025,Advanced Materials Interfaces,12,24,e00666,,,1,https://www.scopus.com/pages/publications/105021926486?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105021926486
Zhao D.; Muhammad T.; Piletsky S.A.; Liu L.; Zheng Y.; Ding B.,"Zhao, Danni (57393581600); Muhammad, Turghun (36461464800); Piletsky, Sergey A. (7005942776); Liu, Lianfeng (60023213600); Zheng, Yue (59506378900); Ding, Bei (58922580700)",57393581600; 36461464800; 7005942776; 60023213600; 59506378900; 58922580700,Synthesis of selective fluorescent nanoMIPs via solid-phase imprinting for a homogeneous FRET assay: tryptamine detection in fruits,2025,Food Chemistry,496,,146608,,,2,https://www.scopus.com/pages/publications/105019665040?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105019665040
Liu J.-X.; Yin J.-Y.; Huang Y.-F.,"Liu, Jian-Xi (59758761800); Yin, Jia-Yi (59759319600); Huang, Yan-Fei (54792873700)",59758761800; 59759319600; 54792873700,Recent progress of poly (vinylidene fluoride) based solid-state ionogel electrolytes in improving electrochemical performance,2025,Journal of Colloid and Interface Science,700,,138495,,,4,https://www.scopus.com/pages/publications/105011834256?origin=resultslist,Academic Press Inc.,Article,Scopus,2-s2.0-105011834256
de Souza J.F.; Diniz C.C.; Fajardo A.R.; Iglesias B.A.,"de Souza, Jaqueline F. (57202970055); Diniz, Carlos C. (57845008400); Fajardo, André R. (26648511100); Iglesias, Bernardo A. (25230246100)",57202970055; 57845008400; 26648511100; 25230246100,Photodegradation of non-steroidal anti-inflammatory drugs in water assisted by meso-tetra-(thiocarboxylate)porphyrin: Synthesis and photocatalytic application,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,726,,137784,,,1,https://www.scopus.com/pages/publications/105010850854?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105010850854
Badawy S.A.; Kamel A.I.; Soliman A.E.; Abdul Wahab M.M.; Khader A.M.; Abdelgawad M.E.; Ibrahim E.A.; Mostafa B.A.; Elmezain K.M.; Elmorsy M.R.,"Badawy, Safa A. (57212079772); Kamel, Abdullah I. (58699610500); Soliman, Ahmed E. (59408979200); Abdul Wahab, Mostafa M. (60010735000); Khader, Anas M. (60010225100); Abdelgawad, Mahmoud E. (60009712900); Ibrahim, Elaria A. (60009713000); Mostafa, Basant A. (60010735100); Elmezain, Karim M. (60010049000); Elmorsy, Mohamed R. (57194381717)",57212079772; 58699610500; 59408979200; 60010735000; 60010225100; 60009712900; 60009713000; 60010735100; 60010049000; 57194381717,Oxadiazole-Based Fluorescent Dyes: Photophysical Characterization and Dual Application in Latent Fingerprint Detection and Security Inks,2025,Journal of Fluorescence,35,12,,12361,12372,4,https://www.scopus.com/pages/publications/105011355046?origin=resultslist,Springer,Article,Scopus,2-s2.0-105011355046
Geng L.; Liu B.; Zhang X.; Wang M.; Li B.; Zhang X.,"Geng, Lingyi (60149289600); Liu, Bo (60053140400); Zhang, Xu (57199704637); Wang, Meng (57338711900); Li, Bei (55530887300); Zhang, Xin (57216166623)",60149289600; 60053140400; 57199704637; 57338711900; 55530887300; 57216166623,Engineered α-to β-phase transition for enhanced energy storage in ferroelectric PVDF-based copolymers,2025,Polymer,340,,129194,,,3,https://www.scopus.com/pages/publications/105019390983?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105019390983
Zhang E.; Lu W.; Zhang A.; Zhang P.; Zhang Q.; Cheng T.; Jiang L.; Ju P.,"Zhang, Ensheng (55507903500); Lu, Wenhui (55265309700); Zhang, Anyue (59982610500); Zhang, Ping (59408552100); Zhang, Qingxiang (58975782700); Cheng, Tingting (57221384078); Jiang, Long (56459308800); Ju, Ping (54963132300)",55507903500; 55265309700; 59982610500; 59408552100; 58975782700; 57221384078; 56459308800; 54963132300,A novel ratiometric fluorescent and colorimetric probe for real-time visual sensing of Zineb in food samples,2025,Journal of Molecular Structure,1346,,143192,,,0,https://www.scopus.com/pages/publications/105010018072?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105010018072
Hu Q.; Lu J.; Hui J.; Rao Z.; Ren Y.; Wang H.,"Hu, Qingyun (57216461026); Lu, Junyuan (59418448500); Hui, Jian (57212671943); Rao, Ziyuan (59974657100); Ren, Yang (7403274395); Wang, Hong (55917958600)",57216461026; 59418448500; 57212671943; 59974657100; 7403274395; 55917958600,"Artificial Intelligence-Driven Development in Rechargeable Battery Materials: Progress, Challenges, and Future Perspectives",2025,Advanced Functional Materials,35,52,e08438,,,42,https://www.scopus.com/pages/publications/105009741351?origin=resultslist,John Wiley and Sons Inc,Review,Scopus,2-s2.0-105009741351
