,Author Keywords,Year,Title,Cited by,Abstract,DOI
1480,Elastomers; Functional Materials; Functional Polymers; Grippers; Intelligent Robots; Liquid Crystals; Machine Design; Magnetic Materials; Robotics; Shape-memory Polymer; Design Strategies; Dielectric Elastomers; External Stimulus; Liquid Crystal Elastomers; Mechanical Intelligence; Stimuli-responsive; Unstructured Environments; Working Mechanisms; Dielectric Materials,2020,Stimuli-responsive functional materials for soft robotics,194,"Functional materials have spurred the advancement of soft robotics with the potential to perform safe interactions and adaptative functions in unstructured environments. The responses of functional materials under external stimuli lend themselves to programmable actuation and sensing, opening up new possibilities of robot design with built-in mechanical intelligence and unlocking new applications. Here, we review the development of stimuli-responsive functional materials particularly used for soft robotic systems. This review covers five representative types of soft stimuli-responsive functional materials, namely (i) dielectric elastomers, (ii) hydrogels, (iii) shape memory polymers, (iv) liquid crystal elastomers, and (v) magnetic materials, with focuses on their inherent material properties, working mechanisms, and design strategies for actuation and sensing. We also highlight the state-of-the-art applications of soft stimuli-responsive functional materials in locomotion robots, grippers and sensors. Finally, we summarize the current challenges and map out future trends for engineering next-generation functional materials for soft robotics.",10.1039/d0tb01585g
4687,Actuators; Liquid Crystalline Elastomers; Robotics; Shape Memory Alloys; Stimuli-responsive Materials; Actuators; Conducting Polymers; Dielectric Materials; Elastomers; Electroactive Polymer Actuators; Films; Functional Programming; Hydraulic Actuators; Integration; Liquid Crystals; Mechanical Actuators; Plastics; Pneumatic Actuators; Robotics; Shape Memory Effect; Shape-memory Alloy; Shape-memory Polymer; Dielectric Elastomer Actuators; Extreme Environment; Ionic Electroactive Polymers; Liquid Crystalline Elastomers; Material Transformation; Mechanical Response; Responsive Materials; Stimuli-responsive Materials; Nanocrystalline Materials,2020,Materials as Machines,256,"Machines are systems that harness input power to extend or advance function. Fundamentally, machines are based on the integration of materials with mechanisms to accomplish tasks—such as generating motion or lifting an object. An emerging research paradigm is the design, synthesis, and integration of responsive materials within or as machines. Herein, a particular focus is the integration of responsive materials to enable robotic (machine) functions such as gripping, lifting, or motility (walking, crawling, swimming, and flying). Key functional considerations of responsive materials in machine implementations are response time, cyclability (frequency and ruggedness), sizing, payload capacity, amenability to mechanical programming, performance in extreme environments, and autonomy. This review summarizes the material transformation mechanisms, mechanical design, and robotic integration of responsive materials including shape memory alloys (SMAs), piezoelectrics, dielectric elastomer actuators (DEAs), ionic electroactive polymers (IEAPs), pneumatics and hydraulics systems, shape memory polymers (SMPs), hydrogels, and liquid crystalline elastomers (LCEs) and networks (LCNs). Structural and geometrical fabrication of these materials as wires, coils, films, tubes, cones, unimorphs, bimorphs, and printed elements enables differentiated mechanical responses and consistently enables and extends functional use.",10.1002/adma.201906564
